FeatureModel,VotingScheme,Kernel,note,runs,folds,runtime,memoryBytes,memoryGB,NumSamples,AUC,Sensitivity,Specificity,FPR,FDR,Accuracy,PPV,Precision,Recall,FScore,AP,AN,TP,TN,FP,FN
multiple,NONE,STATIC_LINEAR,all features,2,5,1069,221380608,0.221,2296,0.893,0.799,0.908,0.092,0.079,0.846,0.921,0.921,0.799,0.856,1314,982,1050,892,90,264
multiple,ADDITIVE_PREDICTIONS,STATIC_LINEAR,all features,2,5,1069,221380608,0.221,2296,0.865,0.798,0.925,0.075,0.066,0.852,-,0.934,-,-,978,170,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_LINEAR,all features,2,5,1069,221380608,0.221,2296,0.854,0.799,0.908,0.092,0.079,0.846,-,0.921,-,-,971,177,-,-,-,-

multiple,NONE,STATIC_GAU_005,all features,2,5,3953,221769728,0.222,2296,0.970,0.939,0.864,0.136,0.098,0.907,0.902,0.902,0.939,0.920,1314,982,1234,848,134,80
multiple,ADDITIVE_PREDICTIONS,STATIC_GAU_005,all features,2,5,3953,221769728,0.222,2296,0.955,0.936,0.888,0.112,0.082,0.916,-,0.918,-,-,1051,97,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_GAU_005,all features,2,5,3953,221769728,0.222,2296,0.901,0.939,0.864,0.136,0.098,0.907,-,0.902,-,-,1041,107,-,-,-,-

multiple,NONE,STATIC_GAU_010,all features,2,5,3103,327901184,0.328,2296,0.969,0.939,0.880,0.120,0.087,0.914,0.913,0.913,0.939,0.926,1314,982,1234,864,118,80
multiple,ADDITIVE_PREDICTIONS,STATIC_GAU_010,all features,2,5,3103,327901184,0.328,2296,0.956,0.935,0.888,0.112,0.082,0.915,-,0.918,-,-,1050,98,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_GAU_010,all features,2,5,3103,327901184,0.328,2296,0.909,0.939,0.880,0.120,0.087,0.914,-,0.913,-,-,1049,99,-,-,-,-

multiple,NONE,STATIC_GAU_030,all features,2,5,4197,0,0.000,2296,0.966,0.930,0.870,0.130,0.095,0.904,0.905,0.905,0.930,0.917,1314,982,1222,854,128,92
multiple,ADDITIVE_PREDICTIONS,STATIC_GAU_030,all features,2,5,4197,0,0.000,2296,0.949,0.900,0.933,0.067,0.053,0.914,-,0.947,-,-,1049,99,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_GAU_030,all features,2,5,4197,0,0.000,2296,0.900,0.930,0.870,0.130,0.095,0.904,-,0.905,-,-,1038,110,-,-,-,-

multiple,NONE,STATIC_GAU_060,all features,2,5,3394,113803264,0.114,2296,0.966,0.881,0.912,0.088,0.069,0.895,0.931,0.931,0.881,0.905,1314,982,1158,896,86,156
multiple,ADDITIVE_PREDICTIONS,STATIC_GAU_060,all features,2,5,3394,113803264,0.114,2296,0.923,0.865,0.939,0.061,0.050,0.896,-,0.950,-,-,1029,119,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_GAU_060,all features,2,5,3394,113803264,0.114,2296,0.897,0.881,0.912,0.088,0.069,0.895,-,0.931,-,-,1027,121,-,-,-,-

multiple,NONE,STATIC_LAP_005,all features,2,5,3576,278761472,0.279,2296,0.975,0.962,0.853,0.147,0.102,0.916,0.898,0.898,0.962,0.929,1314,982,1264,838,144,50
multiple,ADDITIVE_PREDICTIONS,STATIC_LAP_005,all features,2,5,3576,278761472,0.279,2296,0.966,0.951,0.886,0.114,0.082,0.923,-,0.918,-,-,1060,88,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_LAP_005,all features,2,5,3576,278761472,0.279,2296,0.908,0.962,0.853,0.147,0.102,0.916,-,0.898,-,-,1051,97,-,-,-,-

multiple,NONE,STATIC_LAP_010,all features,2,5,4144,0,0.000,2296,0.979,0.938,0.894,0.106,0.078,0.919,0.922,0.922,0.938,0.930,1314,982,1232,878,104,82
multiple,ADDITIVE_PREDICTIONS,STATIC_LAP_010,all features,2,5,4144,0,0.000,2296,0.965,0.928,0.906,0.094,0.070,0.919,-,0.930,-,-,1055,93,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_LAP_010,all features,2,5,4144,0,0.000,2296,0.909,0.932,0.886,0.114,0.084,0.912,-,0.916,-,-,1047,101,-,-,-,-

multiple,NONE,STATIC_LAP_030,all features,2,5,2935,513261568,0.513,2296,0.980,0.933,0.933,0.067,0.051,0.933,0.949,0.949,0.933,0.941,1314,982,1226,916,66,88
multiple,ADDITIVE_PREDICTIONS,STATIC_LAP_030,all features,2,5,2935,513261568,0.513,2296,0.963,0.903,0.982,0.018,0.015,0.936,-,0.985,-,-,1075,73,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_LAP_030,all features,2,5,2935,513261568,0.513,2296,0.933,0.933,0.933,0.067,0.051,0.933,-,0.949,-,-,1071,77,-,-,-,-

multiple,NONE,STATIC_LAP_060,all features,2,5,5043,94318592,0.094,2296,0.979,0.926,0.939,0.061,0.047,0.932,0.953,0.953,0.926,0.939,1314,982,1217,922,60,97
multiple,ADDITIVE_PREDICTIONS,STATIC_LAP_060,all features,2,5,5043,94318592,0.094,2296,0.961,0.909,0.969,0.031,0.025,0.935,-,0.975,-,-,1073,75,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_LAP_060,all features,2,5,5043,94318592,0.094,2296,0.929,0.922,0.935,0.065,0.050,0.928,-,0.950,-,-,1065,83,-,-,-,-

multiple,NONE,STATIC_SIG_005,all features,2,5,5130,349249536,0.349,2296,0.881,0.842,0.808,0.192,0.146,0.827,0.854,0.854,0.842,0.848,1314,982,1106,793,189,208
multiple,ADDITIVE_PREDICTIONS,STATIC_SIG_005,all features,2,5,5130,349249536,0.349,2296,0.872,0.813,0.849,0.151,0.122,0.828,-,0.878,-,-,951,197,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_SIG_005,all features,2,5,5130,349249536,0.349,2296,0.792,0.826,0.758,0.242,0.180,0.797,-,0.820,-,-,915,233,-,-,-,-

multiple,NONE,STATIC_SIG_010,all features,2,5,5662,392990720,0.393,2296,0.842,0.826,0.680,0.320,0.224,0.764,0.776,0.776,0.826,0.800,1314,982,1085,668,314,229
multiple,ADDITIVE_PREDICTIONS,STATIC_SIG_010,all features,2,5,5662,392990720,0.393,2296,0.802,0.817,0.749,0.251,0.186,0.788,-,0.814,-,-,905,243,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_SIG_010,all features,2,5,5662,392990720,0.393,2296,0.689,0.788,0.589,0.411,0.281,0.703,-,0.719,-,-,807,341,-,-,-,-

multiple,NONE,STATIC_SIG_030,all features,2,5,5200,304123904,0.304,2296,0.724,0.677,0.697,0.303,0.251,0.686,0.749,0.749,0.677,0.711,1314,982,890,684,298,424
multiple,ADDITIVE_PREDICTIONS,STATIC_SIG_030,all features,2,5,5200,304123904,0.304,2296,0.720,0.676,0.705,0.295,0.246,0.688,-,0.754,-,-,790,358,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_SIG_030,all features,2,5,5200,304123904,0.304,2296,0.687,0.677,0.697,0.303,0.251,0.686,-,0.749,-,-,787,361,-,-,-,-

multiple,NONE,STATIC_SIG_060,all features,2,5,6576,0,0.000,2296,0.722,0.754,0.625,0.375,0.271,0.699,0.729,0.729,0.754,0.741,1314,982,991,614,368,323
multiple,ADDITIVE_PREDICTIONS,STATIC_SIG_060,all features,2,5,6576,0,0.000,2296,0.686,0.732,0.619,0.381,0.280,0.684,-,0.720,-,-,785,363,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_SIG_060,all features,2,5,6576,0,0.000,2296,0.666,0.726,0.607,0.393,0.288,0.675,-,0.712,-,-,775,373,-,-,-,-

multiple,NONE,STATIC_CAU_005,all features,2,5,5293,122335232,0.122,2296,0.973,0.932,0.911,0.089,0.066,0.923,0.934,0.934,0.932,0.933,1314,982,1224,895,87,90
multiple,ADDITIVE_PREDICTIONS,STATIC_CAU_005,all features,2,5,5293,122335232,0.122,2296,0.955,0.910,0.951,0.049,0.039,0.928,-,0.961,-,-,1065,83,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_CAU_005,all features,2,5,5293,122335232,0.122,2296,0.916,0.930,0.902,0.098,0.073,0.918,-,0.927,-,-,1054,94,-,-,-,-

multiple,NONE,STATIC_CAU_010,all features,2,5,3044,303702016,0.304,2296,0.971,0.930,0.908,0.092,0.069,0.921,0.931,0.931,0.930,0.931,1314,982,1222,892,90,92
multiple,ADDITIVE_PREDICTIONS,STATIC_CAU_010,all features,2,5,3044,303702016,0.304,2296,0.950,0.909,0.947,0.053,0.042,0.925,-,0.958,-,-,1062,86,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_CAU_010,all features,2,5,3044,303702016,0.304,2296,0.915,0.930,0.900,0.100,0.074,0.917,-,0.926,-,-,1053,95,-,-,-,-

multiple,NONE,STATIC_CAU_030,all features,2,5,3671,0,0.000,2296,0.965,0.898,0.916,0.084,0.065,0.906,0.935,0.935,0.898,0.916,1314,982,1180,900,82,134
multiple,ADDITIVE_PREDICTIONS,STATIC_CAU_030,all features,2,5,3671,0,0.000,2296,0.945,0.880,0.947,0.053,0.043,0.909,-,0.957,-,-,1043,105,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_CAU_030,all features,2,5,3671,0,0.000,2296,0.907,0.898,0.916,0.084,0.065,0.906,-,0.935,-,-,1040,108,-,-,-,-

multiple,NONE,STATIC_CAU_060,all features,2,5,3106,487419904,0.487,2296,0.965,0.871,0.940,0.060,0.049,0.901,0.951,0.951,0.871,0.909,1314,982,1145,923,59,169
multiple,ADDITIVE_PREDICTIONS,STATIC_CAU_060,all features,2,5,3106,487419904,0.487,2296,0.932,0.857,0.967,0.033,0.028,0.904,-,0.972,-,-,1038,110,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_CAU_060,all features,2,5,3106,487419904,0.487,2296,0.895,0.866,0.925,0.075,0.061,0.891,-,0.939,-,-,1023,125,-,-,-,-

multiple,NONE,STATIC_ANOVA_16_2,all features,2,5,24592,359538688,0.360,2296,0.641,0.788,0.471,0.529,0.334,0.652,0.666,0.666,0.788,0.722,1314,982,1035,463,519,279
multiple,ADDITIVE_PREDICTIONS,STATIC_ANOVA_16_2,all features,2,5,24592,359538688,0.360,2296,0.690,0.753,0.534,0.466,0.316,0.659,-,0.684,-,-,757,391,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_ANOVA_16_2,all features,2,5,24592,359538688,0.360,2296,0.537,0.647,0.279,0.721,0.454,0.490,-,0.546,-,-,562,586,-,-,-,-

multiple,NONE,STATIC_ANOVA_16_4,all features,2,5,40671,0,0.000,2296,0.593,0.842,0.317,0.683,0.378,0.617,0.622,0.622,0.842,0.716,1314,982,1106,311,671,208
multiple,ADDITIVE_PREDICTIONS,STATIC_ANOVA_16_4,all features,2,5,40671,0,0.000,2296,0.709,0.798,0.491,0.509,0.323,0.666,-,0.677,-,-,765,383,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_ANOVA_16_4,all features,2,5,40671,0,0.000,2296,0.571,0.750,0.108,0.892,0.470,0.476,-,0.530,-,-,546,602,-,-,-,-

multiple,NONE,STATIC_ANOVA_16_12,all features,2,5,105724,161955840,0.162,2296,0.513,0.685,0.402,0.598,0.395,0.564,0.605,0.605,0.685,0.643,1314,982,900,395,587,414
multiple,ADDITIVE_PREDICTIONS,STATIC_ANOVA_16_12,all features,2,5,105724,161955840,0.162,2296,0.600,0.584,0.554,0.446,0.363,0.571,-,0.637,-,-,656,492,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_ANOVA_16_12,all features,2,5,105724,161955840,0.162,2296,0.790,0.390,0.031,0.969,0.650,0.236,-,0.350,-,-,271,877,-,-,-,-

multiple,NONE,STATIC_ANOVA_16_14,all features,2,5,3089,111280128,0.111,2296,0.503,0.395,0.586,0.414,0.440,0.476,0.560,0.560,0.395,0.463,1314,982,519,575,407,795
multiple,ADDITIVE_PREDICTIONS,STATIC_ANOVA_16_14,all features,2,5,3089,111280128,0.111,2296,0.522,0.195,0.792,0.208,0.443,0.450,-,0.557,-,-,517,631,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_ANOVA_16_14,all features,2,5,3089,111280128,0.111,2296,0.901,0.198,0.000,1.000,0.791,0.113,-,0.209,-,-,130,1018,-,-,-,-

multiple,NONE,STATIC_TW_005,all features,2,5,20528,243625984,0.244,2296,0.722,0.738,0.690,0.310,0.239,0.718,0.761,0.761,0.738,0.750,1314,982,970,678,304,344
multiple,ADDITIVE_PREDICTIONS,STATIC_TW_005,all features,2,5,20528,243625984,0.244,2296,0.717,0.737,0.697,0.303,0.235,0.720,-,0.765,-,-,826,322,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TW_005,all features,2,5,20528,243625984,0.244,2296,0.714,0.738,0.690,0.310,0.239,0.718,-,0.761,-,-,824,324,-,-,-,-

multiple,NONE,STATIC_TW_010,all features,2,5,51701,390762496,0.391,2296,0.658,0.770,0.664,0.336,0.246,0.725,0.754,0.754,0.770,0.762,1314,982,1012,652,330,302
multiple,ADDITIVE_PREDICTIONS,STATIC_TW_010,all features,2,5,51701,390762496,0.391,2296,0.721,0.763,0.672,0.328,0.243,0.724,-,0.757,-,-,831,317,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TW_010,all features,2,5,51701,390762496,0.391,2296,0.717,0.770,0.664,0.336,0.246,0.725,-,0.754,-,-,832,316,-,-,-,-

multiple,NONE,STATIC_TW_030,all features,2,5,45637,0,0.000,2296,0.655,0.766,0.666,0.334,0.246,0.723,0.754,0.754,0.766,0.760,1314,982,1006,654,328,308
multiple,ADDITIVE_PREDICTIONS,STATIC_TW_030,all features,2,5,45637,0,0.000,2296,0.718,0.760,0.668,0.332,0.246,0.720,-,0.754,-,-,827,321,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TW_030,all features,2,5,45637,0,0.000,2296,0.716,0.766,0.666,0.334,0.246,0.723,-,0.754,-,-,830,318,-,-,-,-

multiple,NONE,STATIC_TW_060,all features,2,5,53036,157241344,0.157,2296,0.659,0.767,0.666,0.334,0.246,0.724,0.754,0.754,0.767,0.761,1314,982,1008,654,328,306
multiple,ADDITIVE_PREDICTIONS,STATIC_TW_060,all features,2,5,53036,157241344,0.157,2296,0.719,0.761,0.672,0.328,0.244,0.723,-,0.756,-,-,830,318,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TW_060,all features,2,5,53036,157241344,0.157,2296,0.717,0.767,0.666,0.334,0.246,0.724,-,0.754,-,-,831,317,-,-,-,-

multiple,NONE,STATIC_TRI_005,all features,2,5,3981,397582336,0.398,2296,0.938,0.852,0.908,0.092,0.074,0.876,0.926,0.926,0.852,0.887,1314,982,1120,892,90,194
multiple,ADDITIVE_PREDICTIONS,STATIC_TRI_005,all features,2,5,3981,397582336,0.398,2296,0.918,0.798,0.933,0.067,0.059,0.855,-,0.941,-,-,982,166,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TRI_005,all features,2,5,3981,397582336,0.398,2296,0.856,0.820,0.892,0.108,0.090,0.851,-,0.910,-,-,977,171,-,-,-,-

multiple,NONE,STATIC_TRI_010,all features,2,5,3224,358371328,0.358,2296,0.956,0.896,0.845,0.155,0.114,0.874,0.886,0.886,0.896,0.891,1314,982,1177,830,152,137
multiple,ADDITIVE_PREDICTIONS,STATIC_TRI_010,all features,2,5,3224,358371328,0.358,2296,0.930,0.881,0.876,0.124,0.095,0.879,-,0.905,-,-,1009,139,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TRI_010,all features,2,5,3224,358371328,0.358,2296,0.858,0.880,0.837,0.163,0.122,0.861,-,0.878,-,-,989,159,-,-,-,-

multiple,NONE,STATIC_TRI_030,all features,2,5,3546,402595840,0.403,2296,0.965,0.898,0.904,0.096,0.074,0.901,0.926,0.926,0.898,0.912,1314,982,1180,888,94,134
multiple,ADDITIVE_PREDICTIONS,STATIC_TRI_030,all features,2,5,3546,402595840,0.403,2296,0.934,0.890,0.933,0.067,0.053,0.909,-,0.947,-,-,1043,105,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TRI_030,all features,2,5,3546,402595840,0.403,2296,0.901,0.898,0.904,0.096,0.074,0.901,-,0.926,-,-,1034,114,-,-,-,-

multiple,NONE,STATIC_TRI_060,all features,2,5,3119,368996352,0.369,2296,0.978,0.925,0.929,0.071,0.054,0.927,0.946,0.946,0.925,0.935,1314,982,1216,912,70,98
multiple,ADDITIVE_PREDICTIONS,STATIC_TRI_060,all features,2,5,3119,368996352,0.369,2296,0.954,0.907,0.965,0.035,0.028,0.932,-,0.972,-,-,1070,78,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TRI_060,all features,2,5,3119,368996352,0.369,2296,0.927,0.925,0.929,0.071,0.054,0.927,-,0.946,-,-,1064,84,-,-,-,-

multiple,NONE,STATIC_TRI_070,all features,2,5,3650,0,0.000,2296,0.976,0.925,0.923,0.077,0.059,0.924,0.941,0.941,0.925,0.933,1314,982,1216,906,76,98
multiple,ADDITIVE_PREDICTIONS,STATIC_TRI_070,all features,2,5,3650,0,0.000,2296,0.957,0.901,0.963,0.037,0.030,0.928,-,0.970,-,-,1065,83,-,-,-,-
multiple,MAJORITY_VOTE,STATIC_TRI_070,all features,2,5,3650,0,0.000,2296,0.924,0.925,0.923,0.077,0.059,0.924,-,0.941,-,-,1061,87,-,-,-,-

multiple,NONE,STATIC_TRI_080,all features,2,5,3218,477851648,0.478,2296,0.973,0.912,0.933,0.067,0.052,0.921,0.948,0.948,0.912,0.929,1314,982,1198,916,66,116
