FeatureModel,VotingScheme,Kernel,note,runs,folds,runtime,memoryBytes,memoryGB,NumSamples,AUC,Sensitivity,Specificity,FPR,FDR,Accuracy,PPV,Precision,Recall,FScore,AP,AN,TP,TN,FP,FN
multiple,NONE,CMB_A_DS_LAP,selected,1,5,2877,247644160,0.248,1944,0.981,0.926,0.951,0.049,0.051,0.939,0.949,0.949,0.926,0.937,962,982,891,934,48,71
multiple,ADDITIVE_PREDICTIONS,CMB_A_DS_LAP,selected,1,5,2877,247644160,0.248,972,0.983,0.919,0.963,0.037,0.039,0.941,0.961,0.961,0.919,0.939,481,491,442,473,18,39
multiple,MAJORITY_VOTE,CMB_A_DS_LAP,selected,1,5,2877,247644160,0.248,972,0.938,0.936,0.941,0.059,0.061,0.938,0.939,0.939,0.936,0.938,481,491,450,462,29,31

multiple,NONE,STATISTICAL_LINEAR,selected,1,5,1473,52871168,0.053,972,0.921,0.821,0.931,0.069,0.079,0.877,0.921,0.921,0.821,0.868,481,491,395,457,34,86
multiple,ADDITIVE_PREDICTIONS,STATISTICAL_LINEAR,selected,1,5,1473,52871168,0.053,972,0.921,0.821,0.931,0.069,0.079,0.877,0.921,0.921,0.821,0.868,481,491,395,457,34,86
multiple,MAJORITY_VOTE,STATISTICAL_LINEAR,selected,1,5,1473,52871168,0.053,972,0.876,0.821,0.931,0.069,0.079,0.877,0.921,0.921,0.821,0.868,481,491,395,457,34,86

multiple,NONE,STATISTICAL_GAU_005,selected,1,5,1946,153489408,0.153,972,0.978,0.973,0.827,0.173,0.154,0.899,0.846,0.846,0.973,0.905,481,491,468,406,85,13
multiple,ADDITIVE_PREDICTIONS,STATISTICAL_GAU_005,selected,1,5,1946,153489408,0.153,972,0.978,0.973,0.827,0.173,0.154,0.899,0.846,0.846,0.973,0.905,481,491,468,406,85,13
multiple,MAJORITY_VOTE,STATISTICAL_GAU_005,selected,1,5,1946,153489408,0.153,972,0.900,0.973,0.827,0.173,0.154,0.899,0.846,0.846,0.973,0.905,481,491,468,406,85,13

multiple,NONE,STATISTICAL_GAU_010,selected,1,5,1802,0,0.000,972,0.978,0.946,0.882,0.118,0.113,0.914,0.887,0.887,0.946,0.915,481,491,455,433,58,26
multiple,ADDITIVE_PREDICTIONS,STATISTICAL_GAU_010,selected,1,5,1802,0,0.000,972,0.978,0.946,0.882,0.118,0.113,0.914,0.887,0.887,0.946,0.915,481,491,455,433,58,26
