Name;inSizeRatioProcessNode;inSizeRatioFileNode;inSizeRatioSocketNode;outSizeRatioProcessNode;outSizeRatioFileNode;outSizeRatioSocketNode;inEdgeCompression;outEdgeCompression;sizeStdDev;sizeEnt;boundedPageRankNormalized;boundClosenessSizeCentralityNormalized;boundBetweennessSizeCentrality;pageRankNormalized;closenessSizeCentralityNormalized;betweennessSizeCentrality;fitModel-poly4-inSizeRatioProcessNode-c0;fitModel-poly4-inSizeRatioProcessNode-c1;fitModel-poly4-inSizeRatioProcessNode-c2;fitModel-poly4-inSizeRatioProcessNode-c3;fitModel-poly4-inSizeRatioProcessNode-c4;fitModel-poly4-inSizeRatioFileNode-c0;fitModel-poly4-inSizeRatioFileNode-c1;fitModel-poly4-inSizeRatioFileNode-c2;fitModel-poly4-inSizeRatioFileNode-c3;fitModel-poly4-inSizeRatioFileNode-c4;fitModel-poly4-inSizeRatioSocketNode-c0;fitModel-poly4-inSizeRatioSocketNode-c1;fitModel-poly4-inSizeRatioSocketNode-c2;fitModel-poly4-inSizeRatioSocketNode-c3;fitModel-poly4-inSizeRatioSocketNode-c4;fitModel-poly4-outSizeRatioProcessNode-c0;fitModel-poly4-outSizeRatioProcessNode-c1;fitModel-poly4-outSizeRatioProcessNode-c2;fitModel-poly4-outSizeRatioProcessNode-c3;fitModel-poly4-outSizeRatioProcessNode-c4;fitModel-poly4-outSizeRatioFileNode-c0;fitModel-poly4-outSizeRatioFileNode-c1;fitModel-poly4-outSizeRatioFileNode-c2;fitModel-poly4-outSizeRatioFileNode-c3;fitModel-poly4-outSizeRatioFileNode-c4;fitModel-poly4-outSizeRatioSocketNode-c0;fitModel-poly4-outSizeRatioSocketNode-c1;fitModel-poly4-outSizeRatioSocketNode-c2;fitModel-poly4-outSizeRatioSocketNode-c3;fitModel-poly4-outSizeRatioSocketNode-c4;fitModel-poly4-inEdgeCompression-c0;fitModel-poly4-inEdgeCompression-c1;fitModel-poly4-inEdgeCompression-c2;fitModel-poly4-inEdgeCompression-c3;fitModel-poly4-inEdgeCompression-c4;fitModel-poly4-outEdgeCompression-c0;fitModel-poly4-outEdgeCompression-c1;fitModel-poly4-outEdgeCompression-c2;fitModel-poly4-outEdgeCompression-c3;fitModel-poly4-outEdgeCompression-c4;fitModel-poly4-sizeStdDev-c0;fitModel-poly4-sizeStdDev-c1;fitModel-poly4-sizeStdDev-c2;fitModel-poly4-sizeStdDev-c3;fitModel-poly4-sizeStdDev-c4;fitModel-poly4-sizeEnt-c0;fitModel-poly4-sizeEnt-c1;fitModel-poly4-sizeEnt-c2;fitModel-poly4-sizeEnt-c3;fitModel-poly4-sizeEnt-c4;fitModel-poly4-boundedPageRankNormalized-c0;fitModel-poly4-boundedPageRankNormalized-c1;fitModel-poly4-boundedPageRankNormalized-c2;fitModel-poly4-boundedPageRankNormalized-c3;fitModel-poly4-boundedPageRankNormalized-c4;fitModel-poly4-boundClosenessSizeCentralityNormalized-c0;fitModel-poly4-boundClosenessSizeCentralityNormalized-c1;fitModel-poly4-boundClosenessSizeCentralityNormalized-c2;fitModel-poly4-boundClosenessSizeCentralityNormalized-c3;fitModel-poly4-boundClosenessSizeCentralityNormalized-c4;fitModel-poly4-boundBetweennessSizeCentrality-c0;fitModel-poly4-boundBetweennessSizeCentrality-c1;fitModel-poly4-boundBetweennessSizeCentrality-c2;fitModel-poly4-boundBetweennessSizeCentrality-c3;fitModel-poly4-boundBetweennessSizeCentrality-c4;fitModel-poly4-pageRankNormalized-c0;fitModel-poly4-pageRankNormalized-c1;fitModel-poly4-pageRankNormalized-c2;fitModel-poly4-pageRankNormalized-c3;fitModel-poly4-pageRankNormalized-c4;fitModel-poly4-closenessSizeCentralityNormalized-c0;fitModel-poly4-closenessSizeCentralityNormalized-c1;fitModel-poly4-closenessSizeCentralityNormalized-c2;fitModel-poly4-closenessSizeCentralityNormalized-c3;fitModel-poly4-closenessSizeCentralityNormalized-c4;fitModel-poly4-betweennessSizeCentrality-c0;fitModel-poly4-betweennessSizeCentrality-c1;fitModel-poly4-betweennessSizeCentrality-c2;fitModel-poly4-betweennessSizeCentrality-c3;fitModel-poly4-betweennessSizeCentrality-c4;Class
P>goodware.AddInProcess.exe;0,48210;0,51790;0,00000;-1,00000;-1,00000;-1,00000;0,07320;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,03920;0,00000;0,00000;0,34711;0,02988;-0,74629;0,24447;0,52607;-0,34704;-0,02987;0,74614;-0,24442;0,47394;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,02441;0,00210;-0,05248;0,01719;0,07629;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00242;-0,00033;-0,00594;0,00211;0,04087;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.AddInProcess32.exe;0,48210;0,51790;0,00000;-1,00000;-1,00000;-1,00000;0,07320;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,03920;0,00000;0,00000;0,30508;-0,13559;-0,67795;0,42184;0,48210;-0,30502;0,13556;0,67781;-0,42175;0,51790;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,02145;-0,00953;-0,04767;0,02966;0,07320;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00253;-0,00079;-0,00563;0,00245;0,03980;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
P>goodware.AddInUtil.exe;0,48210;0,51790;0,00000;0,00000;1,00000;0,00000;0,08030;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,04570;0,00010;1,00000;0,30508;-0,13559;-0,67795;0,42184;0,48210;-0,30502;0,13556;0,67781;-0,42175;0,51790;0,00000;0,00000;0,00000;0,00000;0,00000;-0,10547;0,14063;0,04688;-0,06250;0,00000;-0,21094;0,28125;0,09375;-0,12500;1,00000;-0,10547;0,14063;0,04688;-0,06250;0,00000;0,02341;-0,01041;-0,05203;0,03238;0,08030;-0,00001;0,00001;0,00001;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,06846;-0,09128;-0,03043;0,04057;0,35090;-0,21094;0,28125;0,09375;-0,12500;1,00000;-0,21094;0,28125;0,09375;-0,12500;1,00000;0,00285;-0,00149;-0,00588;0,00374;0,04570;-0,00001;0,00001;0,00001;-0,00001;0,00010;-0,10547;0,14063;0,04688;-0,06250;1,00000;goodware
P>goodware.aitagent.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,06590;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01550;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.alg.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,05120;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,02100;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.appcmd.exe;1,00000;0,00000;0,00000;-1,00000;-1,00000;-1,00000;0,09300;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,01980;0,00000;0,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.AppLaunch.exe;1,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,09640;0,00050;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01710;0,00050;1,00000;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;goodware
P>goodware.aspnet_compiler.exe;0,51870;0,48130;0,00000;0,00000;1,00000;0,00000;0,04090;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01550;0,00010;1,00000;0,14274;0,04195;-0,46790;0,09652;0,60196;-0,14274;-0,04195;0,46790;-0,09652;0,39804;0,00000;0,00000;0,00000;0,00000;0,00000;-0,09986;0,10465;0,10757;-0,05937;-0,01605;-0,19971;0,20930;0,21513;-0,11873;0,96790;-0,09986;0,10465;0,10757;-0,05937;-0,01605;0,00474;0,00272;-0,01770;0,00328;0,04408;-0,00001;0,00001;0,00001;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,06482;-0,06793;-0,06982;0,03853;0,36132;-0,19971;0,20930;0,21513;-0,11873;0,96790;-0,19971;0,20930;0,21513;-0,11873;0,96790;0,00142;-0,00041;-0,00328;0,00091;0,01607;-0,00001;0,00001;0,00001;-0,00001;0,00010;-0,09986;0,10465;0,10757;-0,05937;0,98395;goodware
P>goodware.aspnet_regbrowsers.exe;0,00000;1,00000;0,00000;0,00000;1,00000;0,00000;0,03250;0,00010;-1,00000;-1,00000;0,35090;1,00000;1,00000;0,01230;0,00010;1,00000;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,07749;0,16739;-0,03516;-0,05967;0,01099;-0,00697;0,01139;0,00672;-0,01236;0,03445;-0,00001;0,00002;0,00000;-0,00001;0,00010;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,05030;-0,10865;0,02282;0,03873;0,34377;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,15497;0,33478;-0,07031;-0,11934;1,02197;-0,00024;0,00039;0,00025;-0,00044;0,01237;-0,00001;0,00002;0,00000;-0,00001;0,00010;-0,07749;0,16739;-0,03516;-0,05967;1,01099;goodware
P>goodware.aspnet_regsql.exe;0,72900;0,27100;0,00000;-1,00000;-1,00000;-1,00000;0,02680;0,00000;-1,00000;-1,00000;1,00000;-1,00000;-1,00000;0,00940;0,00000;0,00000;-0,01555;0,01211;0,03084;-0,01544;0,72245;0,01555;-0,01211;-0,03084;0,01544;0,27756;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00294;-0,00085;-0,00727;-0,02065;0,06204;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;0,00000;0,00000;0,00000;0,00000;-1,00000;-0,00089;-0,00044;0,00496;-0,00494;0,01169;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;goodware
